date,Green_area_ratio_IGM,Cab_IGM,Car_IGM,LAI_IGM,LMA_IGM,Green_area_ratio_EGM,Cab_EGM,Car_EGM,LAI_EGM,LMA_EGM,Green_area_ratio_EGG,Cab_EGG,Car_EGG,LAI_EGG,LMA_EGG,Green_area_ratio_NutNet_C_1,Cab_NutNet_C_1,Car_NutNet_C_1,LAI_NutNet_C_1,LMA_NutNet_C_1,Green_area_ratio_NutNet_C_2,Cab_NutNet_C_2,Car_NutNet_C_2,LAI_NutNet_C_2,LMA_NutNet_C_2,Green_area_ratio_NutNet_C_3,Cab_NutNet_C_3,Car_NutNet_C_3,LAI_NutNet_C_3,LMA_NutNet_C_3,Green_area_ratio_NutNet_NPK_1,Cab_NutNet_NPK_1,Car_NutNet_NPK_1,LAI_NutNet_NPK_1,LMA_NutNet_NPK_1,Green_area_ratio_NutNet_NPK_2,Cab_NutNet_NPK_2,Car_NutNet_NPK_2,LAI_NutNet_NPK_2,LMA_NutNet_NPK_2,Green_area_ratio_NutNet_NPK_3,Cab_NutNet_NPK_3,Car_NutNet_NPK_3,LAI_NutNet_NPK_3,LMA_NutNet_NPK_3
4-May,0.7997,7.839333333,1.150294444,1.644613889,0.000366583,0.8631,28.40683333,5.819238889,1.899230556,0.0034185,0.8392,13.91112821,2.494784615,2.148489744,0.002970308,0.8428,15.78066667,3.382377778,3.153505556,0.003395667,0.7021,11.15666667,3.037822222,1.734116667,0.0030525,0.7471,17.08,3.018466667,0.804911111,0.002903,0.8301,2.742666667,1.207933333,1.0893,0.001685333,0.8252,14.10666667,2.457755556,0.388144444,0.001546,0.8568,8.504166667,1.767022222,1.132966667,0.003027333
24-May,NaN,NaN,NaN,NaN,NaN,0.8249,16.95383333,0.175822222,2.802647222,0.001656833,0.9093,20.50954545,0.40069697,0.188084848,0.003579455,0.8511,5.683333333,0.585948148,1.372131481,0.001580778,0.8289,10.296,1.117666667,0.871796296,0.002280333,0.8131,25.46272222,1.158592593,0.148377778,0.004173556,0.7258,12.76972222,1.023811111,2.301943056,0.002390333,0.875,22.47955556,0.662703704,1.194038889,0.001798911,0.85,26.54103704,6.017059259,1.789544444,0.003454778
7-Jun,0.2887,11.626,3.298088889,1.072983333,0.012532667,0.8415,13.61,2.208083333,3.578997222,0.002331958,0.7207,31.12083333,6.08865,1.249472222,0.007037208,0.5819,22.51533333,3.629948148,1.711698148,0.006727833,0.5471,3.167777778,0.772259259,1.482485185,0.001404,0.4515,4.850111111,0.585444444,0.690868519,0.000307778,0.4698,4.646277778,0.187622222,3.787472222,0.002940667,0.6554,1.915185185,1.23897037,6.639851852,0.001513178,0.5571,3.545111111,1.24042963,1.831022222,0.000121
21-Jun,0.3859,8.7875,1.857911111,0.429433333,0.010073,NaN,NaN,NaN,NaN,NaN,0.5656,9.985958333,2.147833333,0.998456944,0.0075046,0.166,2.432,4.796688889,1.551977778,0.002851467,0.1794,9.252222222,1.222244444,0.787488889,0.007917333,0.1809,10.12616667,3.185955556,0.896466667,0.004855833,0.0373,9.025111111,4.953955556,1.501466667,0.002798333,0.0175,3.791666667,2.128666667,1.752133333,0.002529667,0.0929,5.7325,2.703555556,1.228044444,0.0071328
6-Jul,0.533,0.560383333,2.255146667,0.584558333,0.00683339,0.1372,12.17125926,3.793327778,0.453277778,0.006472611,0.124,27.76333648,3.62092327,0.164046541,0.003106121,0.0896,8.475333333,2.228797531,1.886198765,0.004102444,0.1195,24.96751235,3.628264198,2.173538272,0.001846541,0.1304,17.95840385,2.899005128,1.594423718,0.000450769,0.028,9.067901235,0.392125926,1.535880247,0.004598926,0.0091,8.688246914,3.659071605,2.783644444,0.004122193,0.0665,0.053598765,1.67182963,1.999537037,0.004057037
20-Jul,0.4833,3.884324074,1.158053704,0.131914352,0.007839272,0.3016,31.94725926,4.735496296,1.114419907,0.005645892,0.0921,6.796930556,0.164103704,1.18690463,0.003232533,0.0244,3.813481481,1.153965432,1.298774074,0.006800704,0.0324,2.814814815,2.743051852,1.049564815,0.007913778,0.0475,4.07087037,3.213350617,0.673908642,0.009281074,0.0021,0.319740741,1.721049383,2.231681481,0.00605584,0.0015,NaN,NaN,1.9685111,0.000456259,0.0475,2.02962963,0.243506173,2.1819,0.006748556
20-Sep,0.6627,0.839726852,3.981024074,0.442050926,0.004743047,0.9291,1.367537037,3.868012963,2.206351852,0.000198278,0.7846,10.87907407,0.686285185,0.530243981,0.000808311,0.8219,18.86411728,1.603412346,0.605946296,0.003009056,0.7776,10.02116049,1.091701235,0.370361111,0.002127741,0.6976,25.30424691,3.208903704,0.259612346,0.002669111,0.8843,2.059561728,3.837219753,0.132985802,0.000784519,0.8403,45.71228395,0.349945679,0.804412346,0.004073704,0.8382,18.36280247,1.975395062,0.884974074,0.001764741
11-Oct,0.6421,0.811763889,1.552746296,0.50261713,0.003953264,0.8014,21.223,3.849807407,2.113006944,0.003906167,0.5882,21.21483796,3.95637037,0.328832407,0.001824403,0.6982,42.04214198,5.083246914,0.682817284,0.006456815,0.5826,0.699270833,0.507225,0.356163889,0.005719333,0.5636,24.75474074,3.259918519,0.348869136,0.004719481,0.777,21.3287963,0.738651852,1.461634568,0.00278263,0.7501,52.40303704,2.2536,0.496053086,0.004158926,0.7759,19.66208642,1.487735802,1.075759259,0.002495333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,